driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
NVMe KINGSTON SKC1000,SSD,447.1,10035,1347,98879.2,8.12,2.76,2017,245
IM2P33F3 NVMe ADATA 256GB,SSD,238.5,9613,1399,3920.0,196.18,0.21,2020,246
NE-256,SSD,238.5,9586,1401,4916.0,155.99,0.26,2018,247
OCZ RevoDrive 3 X2 Max IOPS,SSD,447.2,9496,1412,76152.8,9.98,2.13,2012,248
Corsair Force MP300 480GB,SSD,447.1,9319,1419,11920.0,62.54,0.33,2018,249
OCZ RevoDrive 350 PCI-E,SSD,447.2,9299,1420,44268.8,16.8,1.24,2014,250
BC501 NVMe SK hynix 256GB,SSD,238.5,9276,1422,3630.4,204.4,0.19,2018,251
Patriot P300 128GB,SSD,119.2,9269,1423,2476.0,299.48,0.26,2020,252
Intel 600P Series 512GB,SSD,476.9,9073,1438,9520.0,76.24,0.25,2016,253
Corsair Force MP300 240GB,SSD,223.6,9000,1441,9391.2,76.66,0.53,2018,254
PNY CS2130 500GB SSD,SSD,465.8,8978,1445,4799.2,149.66,0.13,2020,255
Samsung SM951 M.2 128GB AHCI,SSD,119.2,8882,1451,9356.0,75.94,0.98,2015,256
HP SSD EX900 120GB,SSD,111.8,8791,1456,3519.2,199.83,0.39,2018,257
Intel DC P3600 400GB NVMe,SSD,372.6,8776,1457,35600.0,19.72,1.19,2015,258
Intel SSD Pro 6000p 256GB,SSD,238.5,8757,1461,6400.0,109.47,0.34,2016,259
Samsung PM951 512GB NVMe,SSD,476.9,8628,1473,15199.2,45.41,0.4,2015,260
Intel SSD DC P3100 256GB,SSD,238.5,8402,1486,12799.2,52.52,0.67,2017,261
Intel SSD Pro 6000p 1TB,SSD,953.9,8309,1497,26400.0,25.18,0.35,2017,262
Intel 600p Series 256GB,SSD,238.5,8209,1502,8720.0,75.31,0.46,2016,263
SAMSUNG XP941 M.2 512GB,SSD,476.9,8167,1505,16396.0,39.85,0.43,2013,264
SAMSUNG XP941 M.2 256GB,SSD,238.5,8110,1512,8552.0,75.86,0.45,2013,265
Transcend TS1TMTE110S,SSD,953.9,8104,1513,10113.6,64.1,0.13,2019,266
Samsung SSD PM991 NVMe 256GB,SSD,238.5,7912,1532,2796.0,226.38,0.15,2019,267
NVME SSD 128GB,SSD,119.2,7815,1540,14195.2,44.04,1.49,2020,268
OCZ RevoDrive 3 X2,SSD,447.2,7784,1541,41599.2,14.97,1.16,2012,269
Netac NVMe SSD 128GB,SSD,119.2,7701,1546,3864.8,159.41,0.41,2020,270
Corsair Force MP500 120GB,SSD,111.8,7622,1554,5520.0,110.46,0.62,2017,271
Gigabyte M.2 PCIe SSD 256GB,SSD,238.5,7489,1560,4796.0,124.92,0.25,2018,272
WDC WDS512G1X0C,SSD,476.9,7380,1566,14399.2,41.0,0.38,2017,273
Intel SSD 760p 128GB,SSD,119.2,7327,1568,6057.6,96.76,0.64,2018,274
SAMSUNG MZFLV256HCHP-000MV,SSD,238.5,6849,1592,4991.2,109.78,0.26,2016,275
PLEXTOR PX-128M8PeG,SSD,119.2,6775,1598,17598.4,30.8,1.85,2016,276
Samsung PM951 256GB NVMe,SSD,238.5,6695,1602,3920.0,136.64,0.21,2015,277
