id,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
0,AMD Ryzen 9 5950X,51979.2,46195,71.1,3498,5.38,105.0,16,AM4,Desktop,AMD
1,Intel Core i9-12900KF,45838.4,41163,71.84,4217,7.36,241.0,8,LGA 1700,Desktop,Intel
2,Intel Core i9-12900K,47996.0,41077,68.47,4209,7.02,241.0,8,LGA 1700,Desktop,Intel
3,AMD Ryzen 9 5900X,31442.4,39457,100.39,3494,8.89,105.0,12,AM4,Desktop,AMD
4,AMD Ryzen 9 3950X,52000.0,39157,60.24,2738,4.21,105.0,16,AM4,Desktop,AMD
5,Intel Core i9-12900,40720.0,38281,75.21,4162,8.18,65.0,8,LGA 1700,Desktop,Intel
6,Intel Core i9-12900F,42399.2,35726,67.41,4045,7.63,65.0,8,LGA 1700,Desktop,Intel
7,Intel Core i9-12900T,39120.0,34999,71.57,4032,8.25,35.0,8,LGA 1700,Desktop,Intel
8,Intel Core i7-12700K,32720.0,34125,83.44,4047,9.9,190.0,8,LGA 1700,Desktop,Intel
9,Intel Core i7-12700KF,28079.2,34110,97.18,4054,11.55,190.0,8,LGA 1700,Desktop,Intel
10,Intel Core i9-10980XE @ 3.00GHz,79999.2,33408,33.41,2667,2.67,165.0,18,LGA 2066,Desktop,Intel
11,AMD Ryzen 9 3900XT,49501.6,32869,53.12,2786,4.5,105.0,12,AM4,Desktop,AMD
12,AMD Ryzen 9 3900X,28720.0,32751,91.23,2725,7.59,105.0,12,AM4,Desktop,AMD
13,Intel Core i7-12700F,25036.8,32268,103.11,3987,12.74,65.0,8,LGA 1700,Desktop,Intel
14,Intel Core i9-9980XE @ 3.00GHz,115376.8,31905,22.12,2566,1.78,165.0,18,LGA 2066,Desktop,Intel
15,Intel Xeon W-2295 @ 3.00GHz,120370.4,31680,21.06,2696,1.79,165.0,18,LGA 2066,Server,Intel
16,Intel Core i7-12700,26240.0,31659,96.52,3948,12.04,65.0,8,LGA 1700,Desktop,Intel
17,AMD Ryzen 9 3900,41381.6,30660,59.27,2627,5.08,65.0,12,AM4,Desktop,AMD
18,Intel Core i9-9960X @ 3.10GHz,119916.0,30655,20.45,2631,1.76,165.0,16,LGA 2066,Desktop,Intel
19,Intel Core i9-9990XE @ 4.00GHz,173040.0,30162,13.94,2970,1.37,255.0,14,LGA 2066,Desktop,Intel
